Unnamed: 0,Name of the event,Date,Time,Event description,Type of event,Location (Bangalore only),Registration Link,Estimated duration,Genre,Age Limit,Language,Page Link,Poster Link,combined_text,Predicted group size,label
151,Pottery Workshop ,Sun 15 Mar 2026,3:00 PM,"Get your hands in the clay and your mind in the moment!Join us for a calming, creative escape as you explore the art of hand-built pottery, no wheel required. Using simple tools and your own hands, you’ll learn traditional techniques like pinching, coiling, and shaping to craft a unique ceramic piece.Whether you`re a first-timer or simply craving a mindful experience, this workshop is all about slowing down, creating with intention, and enjoying the joy of making something real.Come join our event and dive into the world of beauty called pottery.NOTE: - Customers are required to pay an additional 300 per person at the venue, which will be redeemable as a food coupon on their orderRead More",Arts and CraftsWorkshops,"Costa Coffee, AECS Layout: Bengaluru",/events/pottery-workshop/ET00470928/venue,1 hour 30 minutes,,Age Limit - 12yrs +,"English, Hindi, Bengali, Kannada",https://in.bookmyshow.com/events/pottery-workshop/ET00470928,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-pottery-workshop-0-2025-11-14-t-3-56-41.jpg,"Pottery Workshop  Get your hands in the clay and your mind in the moment!Join us for a calming, creative escape as you explore the art of hand-built pottery, no wheel required. Using simple tools and your own hands, you’ll learn traditional techniques like pinching, coiling, and shaping to craft a unique ceramic piece.Whether you`re a first-timer or simply craving a mindful experience, this workshop is all about slowing down, creating with intention, and enjoying the joy of making something real.Come join our event and dive into the world of beauty called pottery.NOTE: - Customers are required to pay an additional 300 per person at the venue, which will be redeemable as a food coupon on their orderRead More Arts and CraftsWorkshops nan",4,1
82,The Saint By Lawrence Jesurajan,Sat 18 Apr 2026,8:00 PM,"Event description : Lawrence Jesurajan is the founder of Chillax Comedy Club, a global comedy platform headquartered in Atlanta, USA. His solo specials have played to audiences across Dallas, Atlanta, and multiple U.S. states.After 28 years in America, an IT fresher turned IT leader turned award-winning stand-up comic now conducts a 10,000-feet, KPI-driven performance appraisal of his own existence.Now, for the first time ever, he brings his new special SAINT (Secular. Agnostic. Independent. Non-denominational. Truth.) to India.ONE NIGHT ONLY.ONLY IN BENGALURU.APRIL 18.Read More",Stand up ComedyComedy Shows,Just BLR Comedy Club: Bengaluru,/events/the-saint-by-lawrence-jesurajan/ET00491242/ticket/JBRC/11461,1 Hour,Comedy,Age Limit - 16yrs +,Tamil,https://in.bookmyshow.com/events/the-saint-by-lawrence-jesurajan/ET00491242,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-the-saint-by-lawrence-jesurajan-0-2026-3-12-t-11-58-27.jpg,"The Saint By Lawrence Jesurajan Event description : Lawrence Jesurajan is the founder of Chillax Comedy Club, a global comedy platform headquartered in Atlanta, USA. His solo specials have played to audiences across Dallas, Atlanta, and multiple U.S. states.After 28 years in America, an IT fresher turned IT leader turned award-winning stand-up comic now conducts a 10,000-feet, KPI-driven performance appraisal of his own existence.Now, for the first time ever, he brings his new special SAINT (Secular. Agnostic. Independent. Non-denominational. Truth.) to India.ONE NIGHT ONLY.ONLY IN BENGALURU.APRIL 18.Read More Stand up ComedyComedy Shows Comedy",4,1
40,Crochet Workshop,Sun 15 Mar 2026 - Sun 29 Mar 2026,2:00 PM,"Discover the cozy charm of crochet in this beginner-friendly workshop! Whether you’re picking up the hook for the first time or brushing up on basics, this session will guide you through creating simple, beautiful patterns. Learn essential stitches, tips, and techniques in a relaxed, hands-on environment.What you’ll get:All materials provided (yarn, hooks)Guided instruction for beginnersA calming and mindful creative experienceNo experience needed—just bring your patience and creativity!Read More",Arts and CraftsWorkshops,Thirdspace - Art Cafe and Community: Bengaluru.,/events/crochet-workshop/ET00445018/venue,2 Hours,,All age groups,"English, Hindi",https://in.bookmyshow.com/events/crochet-workshop/ET00445018,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-crochet-workshop-2025-10-13-t-4-48-16.jpg,"Crochet Workshop Discover the cozy charm of crochet in this beginner-friendly workshop! Whether you’re picking up the hook for the first time or brushing up on basics, this session will guide you through creating simple, beautiful patterns. Learn essential stitches, tips, and techniques in a relaxed, hands-on environment.What you’ll get:All materials provided (yarn, hooks)Guided instruction for beginnersA calming and mindful creative experienceNo experience needed—just bring your patience and creativity!Read More Arts and CraftsWorkshops nan",3,1
173,Resin Art Workshop ,Sun 15 Mar 2026 - Mon 30 Mar 2026,,"A resin art workshop where participants learn the basics of working with resin in a fun, creative, and beginner-friendly environment. No prior experience is needed — just come ready to explore! You’ll create your own unique resin pieces during the session, and the best part is you get to take your beautiful creations home with you.",Arts and CraftsWorkshops,Thirdspace - Art Cafe and Community: Bengaluru.,/events/resin-art-workshop/ET00484457/venue,2 Hours,,All age groups,"English, Hindi, Hinglish",https://in.bookmyshow.com/events/resin-art-workshop/ET00484457,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-resin-art-workshop-0-2026-2-1-t-17-54-22.jpg,"Resin Art Workshop  A resin art workshop where participants learn the basics of working with resin in a fun, creative, and beginner-friendly environment. No prior experience is needed — just come ready to explore! You’ll create your own unique resin pieces during the session, and the best part is you get to take your beautiful creations home with you. Arts and CraftsWorkshops nan",2,0
48,GUITAR GROOVE- LEARN GUITAR IN 90 MINS,Sun 15 Mar 2026 - Sat 4 Apr 2026,2:00 PM,"🎸 Guitar Groove - Learn to Play Guitar 🎸Unleash your inner guitarist at our exclusive workshop, where fretboard mastery meets musical creativity! 🌟🎶 What to Expect:Finger Strengthening Exercises:Spider Walk Exercise: Move your fingers up and down the fretboard like a spider, helping with finger independence and strength.Music Theory:Note Names on the Fretboard: Understand where each note is on the fretboard.Learn Basic Chord Shapes:Open Chords: Master common open chords like C, G, and D. Emphasize proper finger placement and smooth transitions.Simple Strumming Techniques:Downstrokes and Upstrokes: Learn the basics of strumming in both directions with simple chord progressions.Jam on Songs:Easy Song Selection: Choose songs with basic chord progressions.Jamming Exercises: Jam together using the chords and strumming patterns learned.🤘 Workshop Highlights:FretMaster Sessions: Elevate your playing with finger-strengthening exercises and explore the secrets of the fretboard.ChordCraft 101: Unlock the magic of chords, from basic shapes to captivating chord progressions.Strum & Jam: Immerse yourself in strumming techniques and jam on popular songs in a supportive and fun environment.🎉 Why Attend?Expert Guidance: Our seasoned instructors bring years of experience, ensuring you receive top-notch guidance and insights.Interactive Learning: Engage in hands-on activities, group jams, and collaborative learning.Take Home Skills: Walk away with a toolkit of skills, from fretboard knowledge to strumming prowess, ready to enhance your musical journey.Guitars will be provided free of cost for the workshop and can be returned afterward. Join us for a musical adventure!Read More",EducationMasterclassWorkshops,My School Of Rock: Bengaluru,/events/strings-and-strums-a-guitar-discovery-workshop/ET00373106/date-time/MSRB,1 hour 30 minutes,"Acoustic, Bollywood, Instrumental, Pop, Rock",Age Limit - 8yrs +,English,https://in.bookmyshow.com/events/strings-and-strums-a-guitar-discovery-workshop/ET00373106,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-guitar-groove-learn-to-play-guitar-0-2024-1-8-t-5-45-53.jpg,"GUITAR GROOVE- LEARN GUITAR IN 90 MINS 🎸 Guitar Groove - Learn to Play Guitar 🎸Unleash your inner guitarist at our exclusive workshop, where fretboard mastery meets musical creativity! 🌟🎶 What to Expect:Finger Strengthening Exercises:Spider Walk Exercise: Move your fingers up and down the fretboard like a spider, helping with finger independence and strength.Music Theory:Note Names on the Fretboard: Understand where each note is on the fretboard.Learn Basic Chord Shapes:Open Chords: Master common open chords like C, G, and D. Emphasize proper finger placement and smooth transitions.Simple Strumming Techniques:Downstrokes and Upstrokes: Learn the basics of strumming in both directions with simple chord progressions.Jam on Songs:Easy Song Selection: Choose songs with basic chord progressions.Jamming Exercises: Jam together using the chords and strumming patterns learned.🤘 Workshop Highlights:FretMaster Sessions: Elevate your playing with finger-strengthening exercises and explore the secrets of the fretboard.ChordCraft 101: Unlock the magic of chords, from basic shapes to captivating chord progressions.Strum & Jam: Immerse yourself in strumming techniques and jam on popular songs in a supportive and fun environment.🎉 Why Attend?Expert Guidance: Our seasoned instructors bring years of experience, ensuring you receive top-notch guidance and insights.Interactive Learning: Engage in hands-on activities, group jams, and collaborative learning.Take Home Skills: Walk away with a toolkit of skills, from fretboard knowledge to strumming prowess, ready to enhance your musical journey.Guitars will be provided free of cost for the workshop and can be returned afterward. Join us for a musical adventure!Read More EducationMasterclassWorkshops Acoustic, Bollywood, Instrumental, Pop, Rock",10,2
95,Sunday Kannada Live Jamming,Sun 15 Mar 2026,,"Kannada songs with a timeless charm Melodies wrapped in emotion and nostalgia Music that makes you pause… and feel ✨ Let your thoughts drift with every note 🎶The session includes one hour of jamming in which first half an hour will be marathon of songs followed by a request segment and vibing with fast numbers. The ticket fee is only for the entry, food is not mandatory. However we serve pure vegetarian food ( coastal Goa`n, continental, beverages and desserts ) À la carte which is billable.Read More",ConcertsMusic Shows,"Silaa The Garden Cafe, Malleshwaram: Bengaluru",/events/sunday-kannada-live-jamming/ET00455897/venue,1 Hour,Retro,All age groups,Kannada,https://in.bookmyshow.com/events/sunday-kannada-live-jamming/ET00455897,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-sunday-kannada-live-jamming-0-2025-7-29-t-11-4-16.jpg,"Sunday Kannada Live Jamming Kannada songs with a timeless charm Melodies wrapped in emotion and nostalgia Music that makes you pause… and feel ✨ Let your thoughts drift with every note 🎶The session includes one hour of jamming in which first half an hour will be marathon of songs followed by a request segment and vibing with fast numbers. The ticket fee is only for the entry, food is not mandatory. However we serve pure vegetarian food ( coastal Goa`n, continental, beverages and desserts ) À la carte which is billable.Read More ConcertsMusic Shows Retro",8,2
158,Clay Tic-Tac-Toe,Sun 15 Mar 2026,,"Create your own adorable handmade clay tic-tac-toe set in this fun and calming workshop at Big Bean Cafe. Learn to shape, detail, and finish a ceramic-style board along with cute clay playing pieces like stars and flowers. Perfect for beginners, this session blends creativity with cozy café vibes, walk away with a playable, display-worthy keepsake made by you.Why You Should AttendDesign and make a fully handmade clay tic-tac-toe boardLearn basic clay shaping, detailing, and finishing techniquesA relaxing, screen-free creative experience in a café settingWho Can AttendBeginners welcomeIdeal for adults, teens, friends, and couplesNo prior clay experience neededWhat’s IncludedAll clay materials & toolsStep-by-step guidanceYour finished clay tic-tac-toe set to take homeRead More",Arts and CraftsHome DecorWorkshops,"Big Bean Cafe, Koramangala: Bengaluru",/events/clay-tic-tac-toe/ET00482858/venue,45 Minutes,,All age groups,"English, Hindi",https://in.bookmyshow.com/events/clay-tic-tac-toe/ET00482858,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-clay-tic-tac-toe-0-2026-1-21-t-15-59-59.jpg,"Clay Tic-Tac-Toe Create your own adorable handmade clay tic-tac-toe set in this fun and calming workshop at Big Bean Cafe. Learn to shape, detail, and finish a ceramic-style board along with cute clay playing pieces like stars and flowers. Perfect for beginners, this session blends creativity with cozy café vibes, walk away with a playable, display-worthy keepsake made by you.Why You Should AttendDesign and make a fully handmade clay tic-tac-toe boardLearn basic clay shaping, detailing, and finishing techniquesA relaxing, screen-free creative experience in a café settingWho Can AttendBeginners welcomeIdeal for adults, teens, friends, and couplesNo prior clay experience neededWhat’s IncludedAll clay materials & toolsStep-by-step guidanceYour finished clay tic-tac-toe set to take homeRead More Arts and CraftsHome DecorWorkshops nan",4,1
44,Couple Canvas,Sun 15 Mar 2026,,"Create something special together at our Couple Canvas Art session! 💖 This unique painting experience is designed for couples to relax, have fun, and express creativity side by side. Guided by our instructor, you and your partner will paint on canvases that come together to form one beautiful artwork. 🖌️✨No prior painting experience is needed—just bring your partner and your imagination. All art supplies, including canvases, paints, and brushes, will be provided. 🎨Enjoy a memorable bonding activity filled with creativity, laughter, and color. By the end of the session, you’ll take home a meaningful piece of art that represents your connection and a wonderful shared experience. 🌈💕Read More",Arts and CraftsHome DecorWorkshops,"Big Bean Cafe: Jayanagar, Bengaluru",/events/couple-canvas/ET00490342/venue,1 Hour,,Age Limit - 18yrs +,"English, Hindi",https://in.bookmyshow.com/events/couple-canvas/ET00490342,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-couple-canvas-0-2026-3-5-t-18-11-56.jpg,"Couple Canvas Create something special together at our Couple Canvas Art session! 💖 This unique painting experience is designed for couples to relax, have fun, and express creativity side by side. Guided by our instructor, you and your partner will paint on canvases that come together to form one beautiful artwork. 🖌️✨No prior painting experience is needed—just bring your partner and your imagination. All art supplies, including canvases, paints, and brushes, will be provided. 🎨Enjoy a memorable bonding activity filled with creativity, laughter, and color. By the end of the session, you’ll take home a meaningful piece of art that represents your connection and a wonderful shared experience. 🌈💕Read More Arts and CraftsHome DecorWorkshops nan",3,1
141,Brushpen Calligraphy,Sun 15 Mar 2026 - Tue 31 Mar 2026,,"In calligraphy workshop, we will be using brush pens to create calligraphy strokes, letters and quotes in a custom designed worksheet. And finally, go on to create a typography illustration artwork.- 2 hours session- Beginner friendly- No prior experience required- All material will be provided at the venue- Expert guidanceRead More",Arts and CraftsMasterclassWorkshops,StoryZone: Bengaluru.,/events/brushpen-calligraphy/ET00481890/date-time/SYBZ,2 Hours,,Age Limit - 8yrs +,"English, Hindi, Kannada",https://in.bookmyshow.com/events/brushpen-calligraphy/ET00481890,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-brushpen-calligraphy-0-2026-1-15-t-6-56-15.jpg,"Brushpen Calligraphy In calligraphy workshop, we will be using brush pens to create calligraphy strokes, letters and quotes in a custom designed worksheet. And finally, go on to create a typography illustration artwork.- 2 hours session- Beginner friendly- No prior experience required- All material will be provided at the venue- Expert guidanceRead More Arts and CraftsMasterclassWorkshops nan",3,1
3,Tie Dye,Sun 15 Mar 2026 - Tue 31 Mar 2026,,"We will be using centuries old tie and dye technique to create vibrant and colorful designs on fabric. We will provide a tote bag for you to dye. If you want to dye anything else (t-shirt, scarf, stole) please bring it along. It has to be pre-washed COTTON material.- 2 hours session- Beginner friendly- No prior experience required- All material will be provided at the venue- Expert guidanceRead More",Arts and CraftsMasterclassWorkshops,StoryZone: Bengaluru.,/events/tie-dye/ET00481888/date-time/SYBZ,2 Hours,,Age Limit - 8yrs +,"English, Hindi, Kannada",https://in.bookmyshow.com/events/tie-dye/ET00481888,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-tie-dye-0-2026-1-15-t-6-47-49.jpg,"Tie Dye We will be using centuries old tie and dye technique to create vibrant and colorful designs on fabric. We will provide a tote bag for you to dye. If you want to dye anything else (t-shirt, scarf, stole) please bring it along. It has to be pre-washed COTTON material.- 2 hours session- Beginner friendly- No prior experience required- All material will be provided at the venue- Expert guidanceRead More Arts and CraftsMasterclassWorkshops nan",3,1
106,Beach Terrarium,Sun 15 Mar 2026 - Sun 12 Apr 2026,3:00 PM,"Ever wanted to bottle up the calm of a beach?In this session, you’ll create a mini beach inside a glass jar—using sand, shells, clay plants, and natural textures. It’s slow, peaceful, and surprisingly satisfying. No pressure to “learn” anything, just space to create, unwind, and enjoy the process.You’ll be guided step by step, but most of the joy comes from doing it your way.By the end, you’ll walk out with a beautiful beach terrarium you made yourself—something you can keep on your desk or gift to someone.No experience needed. Just show up.What you’ll doBuild a beach-themed terrarium from scratchPlay with sand, shells, stones, and clay plants Take home your finished terrariumGood to knowAll materials are includedSuitable for beginnersCalm, creative, and relaxingCreate something small. Feel something bigRead More",Arts and CraftsWorkshops,Brik Oven: Bengaluru,/events/beach-terrarium/ET00479989/venue,1 Hour,,All age groups,"Bengali, English, Hindi, Kannada, Malaya...",https://in.bookmyshow.com/events/beach-terrarium/ET00479989,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-beach-terrarium-0-2026-1-5-t-5-18-26.jpg,"Beach Terrarium Ever wanted to bottle up the calm of a beach?In this session, you’ll create a mini beach inside a glass jar—using sand, shells, clay plants, and natural textures. It’s slow, peaceful, and surprisingly satisfying. No pressure to “learn” anything, just space to create, unwind, and enjoy the process.You’ll be guided step by step, but most of the joy comes from doing it your way.By the end, you’ll walk out with a beautiful beach terrarium you made yourself—something you can keep on your desk or gift to someone.No experience needed. Just show up.What you’ll doBuild a beach-themed terrarium from scratchPlay with sand, shells, stones, and clay plants Take home your finished terrariumGood to knowAll materials are includedSuitable for beginnersCalm, creative, and relaxingCreate something small. Feel something bigRead More Arts and CraftsWorkshops nan",3,1
54,Fluid Art Workshop,Sun 15 Mar 2026,3:00 PM,"Let Your Creativity Flow at Our Fluid Art Workshop!Immerse yourself in the vibrant world of fluid art, where colors swirl, blend, and transform into breathtaking patterns. Whether you`re a beginner or an experienced artist, this hands-on workshop is your chance to explore the magic of flowing paint in a fun and relaxing environment.What You’ll Experience:🎨 Guided by Experts – Learn from talented fluid artists who will take you step by step through the creative process.🖌 All Materials Provided – From canvases and rich, vibrant paints to pouring mediums and tools—we’ve got you covered.🌊 Discover Unique Techniques – Experiment with exciting methods like dirty pour, swipe, and balloon kisses to create mesmerizing effects.🖼 Take Home Your Artwork – Leave with a stunning, one-of-a-kind piece to cherish as a reminder of your artistic journey.🤝 Connect with a Creative Community – Share the experience with fellow art lovers in a supportive and inspiring setting.No brushes, no boundaries—just pure artistic freedom! Join us for a therapeutic, hands-on experience and let your imagination flow.Read More",Arts and CraftsPaintingWorkshops,Casa Fresco: Indiranagar,/events/fluid-art-workshop/ET00436568/venue,1 hour 30 minutes,,Age Limit - 12yrs +,"English, Hindi",https://in.bookmyshow.com/events/fluid-art-workshop/ET00436568,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-fluid-art-workshop-0-2025-3-24-t-1-16-26.jpg,"Fluid Art Workshop Let Your Creativity Flow at Our Fluid Art Workshop!Immerse yourself in the vibrant world of fluid art, where colors swirl, blend, and transform into breathtaking patterns. Whether you`re a beginner or an experienced artist, this hands-on workshop is your chance to explore the magic of flowing paint in a fun and relaxing environment.What You’ll Experience:🎨 Guided by Experts – Learn from talented fluid artists who will take you step by step through the creative process.🖌 All Materials Provided – From canvases and rich, vibrant paints to pouring mediums and tools—we’ve got you covered.🌊 Discover Unique Techniques – Experiment with exciting methods like dirty pour, swipe, and balloon kisses to create mesmerizing effects.🖼 Take Home Your Artwork – Leave with a stunning, one-of-a-kind piece to cherish as a reminder of your artistic journey.🤝 Connect with a Creative Community – Share the experience with fellow art lovers in a supportive and inspiring setting.No brushes, no boundaries—just pure artistic freedom! Join us for a therapeutic, hands-on experience and let your imagination flow.Read More Arts and CraftsPaintingWorkshops nan",2,0
135,Paint With Clay Workshop,Sun 15 Mar 2026 - Sun 5 Apr 2026,2:00 PM,Ever painted without actually using paint?A paint with foam clay activity where you create a colourful artwork using foam clay.What’s included:• All materials will be provided• A foam clay artwork• Your completed piece to take homeRead More,Arts and CraftsWorkshops,Thirdspace - Art Cafe and Community: Bengaluru.,/events/paint-with-clay-workshop/ET00476689/venue,2 Hours,,All age groups,"English, Hindi",https://in.bookmyshow.com/events/paint-with-clay-workshop/ET00476689,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-paint-with-clay-workshop-0-2025-12-17-t-3-19-1.jpg,Paint With Clay Workshop Ever painted without actually using paint?A paint with foam clay activity where you create a colourful artwork using foam clay.What’s included:• All materials will be provided• A foam clay artwork• Your completed piece to take homeRead More Arts and CraftsWorkshops nan,3,1
185,PLAY 'N' LEARN Phoenix Marketcity Bangalore,Sun 15 Mar 2026 - Tue 31 Mar 2026,,"Play is Brain`s Favourite Way of Learning! A premium Active Edu Fun destination that creates a journey of learning moments while making fun memories for children aged 7 years and below, providing the ideal environment for learning through play. ​Swooosh into the Ball Pool, jump your heart out on the Trampoline, explore the Organic Seed Pit, experience the world of pretend play with our Role Play Town and so much MORE!Each location consists of thoughtfully designed play areas aimed to encourage children to discover their individuality, hone creativity, explore the world and reinvent play to help develop physical, cognitive, social and motor skills.Parties to Picnics - we`ve got it all covered! Not just a play area but a world of Wonder & Imagination awaits your Lil star!Read More",EntertainmentKids,"Play N Learn, Phoenix Marketcity: Whitefield",/events/play-n-learn-phoenix-marketcity-bangalore/ET00366478/date-time/PLNW,1 hour 30 minutes,,,"English, Hindi",https://in.bookmyshow.com/events/play-n-learn-phoenix-marketcity-bangalore/ET00366478,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-play-n-learn-phoenix-marketcity-bangalore-0-2023-8-7-t-10-38-32.jpg,"PLAY 'N' LEARN Phoenix Marketcity Bangalore Play is Brain`s Favourite Way of Learning! A premium Active Edu Fun destination that creates a journey of learning moments while making fun memories for children aged 7 years and below, providing the ideal environment for learning through play. ​Swooosh into the Ball Pool, jump your heart out on the Trampoline, explore the Organic Seed Pit, experience the world of pretend play with our Role Play Town and so much MORE!Each location consists of thoughtfully designed play areas aimed to encourage children to discover their individuality, hone creativity, explore the world and reinvent play to help develop physical, cognitive, social and motor skills.Parties to Picnics - we`ve got it all covered! Not just a play area but a world of Wonder & Imagination awaits your Lil star!Read More EntertainmentKids nan",2,0
161,Kannada and Hindi Jamming @ Ragam cafe ,Sun 15 Mar 2026,,"The Sunday mood at The Ragam Cafe starts with rhythm. 🥁🎶Ragam Mehfil brings the stage alive as Subramanya Achar sets the vibe with soulful Kannada & Hindi jamming — the kind that slowly pulls you into the music.🤗🎊🗓️ 15th March, ⏰ 6 PM – 7 PMCome early, grab your table, and let the first notes of the evening take over. ✨🎤Read More",ConcertsMusic Shows,The Ragam Cafe: Bengaluru,/events/kannada-and-hindi-jamming-ragam-cafe/ET00490769/date-time/RGCF,3 Hours,Retro,Age Limit - 5yrs +,"Kannada, Hindi",https://in.bookmyshow.com/events/kannada-and-hindi-jamming-ragam-cafe/ET00490769,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-kannada-and-hindi-jamming-ragam-cafe-0-2026-3-9-t-13-31-55.jpg,"Kannada and Hindi Jamming @ Ragam cafe  The Sunday mood at The Ragam Cafe starts with rhythm. 🥁🎶Ragam Mehfil brings the stage alive as Subramanya Achar sets the vibe with soulful Kannada & Hindi jamming — the kind that slowly pulls you into the music.🤗🎊🗓️ 15th March, ⏰ 6 PM – 7 PMCome early, grab your table, and let the first notes of the evening take over. ✨🎤Read More ConcertsMusic Shows Retro",2,0
190,Maroon 5 Ukulele Workshop,Sun 15 Mar 2026 - Sun 22 Mar 2026,2:00 PM,"🎶 A Date with Maroon 5: Learn Ukulele Through Their Iconic Music 🎶Are you ready to learn the ukulele while diving into the world of Maroon 5? Join us for `A Date with Maroon 5,` where you’ll not only pick up the basics of playing the ukulele but also play Maroon 5`s song  ""Girls like you"" by the end of the session!Workshop Highlights:Warm-up & Finger Strengthening Exercises: Start your musical journey with exercises designed to strengthen your fingers and improve dexterity. These simple routines will prepare you for smooth chord transitions and better control over your strumming.Music Theory Made Simple: Understanding the basics of music theory is key to becoming a confident player. We’ll break down the essentials—notes, scales, and how they relate to your ukulele. Learn to read chord diagrams and understand why chords work together in your favorite songs.Mastering Chord Shapes: Get familiar with common ukulele chord shapes that are fundamental to Maroon 5`s music. Whether you’re a complete beginner or looking to refine your technique, we’ll ensure you get comfortable with transitioning between chords.Strumming Patterns: Discover how strumming adds rhythm and soul to your music. We`ll explore different strumming techniques, focusing on patterns that suit Maroon 5’s style, helping you bring their songs to life.Playing a Maroon 5 Song: The highlight of the workshop! After covering the basics, you’ll apply what you’ve learned by playing one of Maroon 5`s famous tracks. we’ll guide you through the chords and strumming, making it easy for you to perform the song confidently by the end of the session.What to Bring:A ukulele if you own one ( Note: we provide the uke for the duration of the workshop at no extra charges)A positive attitude and a love for Maroon 5Whether you`re a complete beginner or looking to brush up on your skills, this workshop is perfect for anyone who wants to explore the magic of music through the ukulele. By the end of the session, you’ll have the foundation needed to continue learning and playing your favorite songs.🎸 Join us for a memorable musical experience!Read More",EducationMasterclassWorkshops,My School Of Rock: Bengaluru,/events/maroon-5-ukulele-workshop/ET00421346/date-time/MSRB,1 hour 30 minutes,"Acoustic, Contemporary, Instrumental, International, Pop, Rock",Age Limit - 12yrs +,English,https://in.bookmyshow.com/events/maroon-5-ukulele-workshop/ET00421346,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-maroon-5-ukulele-workshop-2026-3-3-t-10-17-54.jpg,"Maroon 5 Ukulele Workshop 🎶 A Date with Maroon 5: Learn Ukulele Through Their Iconic Music 🎶Are you ready to learn the ukulele while diving into the world of Maroon 5? Join us for `A Date with Maroon 5,` where you’ll not only pick up the basics of playing the ukulele but also play Maroon 5`s song  ""Girls like you"" by the end of the session!Workshop Highlights:Warm-up & Finger Strengthening Exercises: Start your musical journey with exercises designed to strengthen your fingers and improve dexterity. These simple routines will prepare you for smooth chord transitions and better control over your strumming.Music Theory Made Simple: Understanding the basics of music theory is key to becoming a confident player. We’ll break down the essentials—notes, scales, and how they relate to your ukulele. Learn to read chord diagrams and understand why chords work together in your favorite songs.Mastering Chord Shapes: Get familiar with common ukulele chord shapes that are fundamental to Maroon 5`s music. Whether you’re a complete beginner or looking to refine your technique, we’ll ensure you get comfortable with transitioning between chords.Strumming Patterns: Discover how strumming adds rhythm and soul to your music. We`ll explore different strumming techniques, focusing on patterns that suit Maroon 5’s style, helping you bring their songs to life.Playing a Maroon 5 Song: The highlight of the workshop! After covering the basics, you’ll apply what you’ve learned by playing one of Maroon 5`s famous tracks. we’ll guide you through the chords and strumming, making it easy for you to perform the song confidently by the end of the session.What to Bring:A ukulele if you own one ( Note: we provide the uke for the duration of the workshop at no extra charges)A positive attitude and a love for Maroon 5Whether you`re a complete beginner or looking to brush up on your skills, this workshop is perfect for anyone who wants to explore the magic of music through the ukulele. By the end of the session, you’ll have the foundation needed to continue learning and playing your favorite songs.🎸 Join us for a memorable musical experience!Read More EducationMasterclassWorkshops Acoustic, Contemporary, Instrumental, International, Pop, Rock",2,0
50,Texture Art Workshop date,Tue 17 Mar 2026 - Fri 20 Mar 2026,8:00 PM,"Discover the magic of creating art you can see and feel! This hands-on Texture Art Workshop invites you to explore a variety of shapes, techniques, and layering styles to craft a unique, tactile masterpiece. Whether you’re a beginner or an art enthusiast, you’ll learn how to build depth, dimension, and character using tools like palette knives, pastes, and mixed-media elements.Read More",Arts and CraftsWorkshops,Roastea: Bengaluru,/events/texture-art-workshop/ET00475387/date-time/IIOP,1 Hour,,,,https://in.bookmyshow.com/events/texture-art-workshop/ET00475387,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-texture-art-workshop-0-2025-12-10-t-11-3-30.jpg,"Texture Art Workshop date Discover the magic of creating art you can see and feel! This hands-on Texture Art Workshop invites you to explore a variety of shapes, techniques, and layering styles to craft a unique, tactile masterpiece. Whether you’re a beginner or an art enthusiast, you’ll learn how to build depth, dimension, and character using tools like palette knives, pastes, and mixed-media elements.Read More Arts and CraftsWorkshops nan",3,1
